old	new
Sp_PPrPr	cyt_cong__SPY2__PDGFB_1__PGFRB__PGFRB_
Sp_FFrFFr	cyt_cong__SPY2__FGF__FGFR__FGF__FGFR_
Sp_FFrFr	cyt_cong__SPY2__FGF__FGFR__FGFR_
Sp_IIrIr	cyt_cong__SPY2__IGF__IGF1R__IGF1R_
Sp_INS_Isr_Isr	cyt_prot__SPY2__INS_1__INSR_1__INSR_1_
Sp_IIrIrI	cyt_cong__SPY2__IGF__IGF1R__IGF1R__IGF_
Sp_INS_Isr_Isr_INS	cyt_prot__SPY2__INS_1__INSR_1__INSR_1__INS_1_
EE1E2int	cyt_prot_in__EGF_1__EGFR_1__ERBB2_1_
EE1E1int	cyt_prot_in__EGF_1__EGFR_1__EGFR_1_
EE1EE1int	cyt_prot_in__EGF_1__EGFR_1__EGF_1__EGFR_1_
EE1E3int	cyt_prot_in__EGF_1__EGFR_1__ERBB3_1_
EE1HE3int	cyt_prot_in__EGF_1__EGFR_1__NRG1_1__ERBB3_1_
EE1E4int	cyt_prot_in__EGF_1__EGFR_1__ERBB4_1_
EE1HE4int	cyt_prot_in__EGF_1__EGFR_1__NRG1_1__ERBB4_1_
E2HE3int	cyt_prot_in__ERBB2_1__NRG1_1__ERBB3_1_
E1HE3int	cyt_prot_in__EGFR_1__NRG1_1__ERBB3_1_
HE3E4int	cyt_prot_in__NRG1_1__ERBB3_1__ERBB4_1_
HE3HE4int	cyt_prot_in__NRG1_1__ERBB3_1__NRG1_1__ERBB4_1_
E2HE4int	cyt_prot_in__ERBB2_1__NRG1_1__ERBB4_1_
E1HE4int	cyt_prot_in__EGFR_1__NRG1_1__ERBB4_1_
E3HE4int	cyt_prot_in__ERBB3_1__NRG1_1__ERBB4_1_
HE4E4int	cyt_prot_in__NRG1_1__ERBB4_1__ERBB4_1_
HE4HE4int	cyt_prot_in__NRG1_1__ERBB4_1__NRG1_1__ERBB4_1_
HGF_Met_Metint	cyt_prot_in__HGF_1__MET_1__MET_1_
HGF_Met_HGF_Metint	cyt_prot_in__HGF_1__MET_1__HGF_1__MET_1_
PPrPPrint	cyt_cong_in__PDGFB_1__PGFRB__PDGFB_1__PGFRB_
PPrPrint	cyt_cong_in__PDGFB_1__PGFRB__PGFRB_
FFrFFrint	cyt_cong_in__FGF__FGFR__FGF__FGFR_
FFrFrint	cyt_cong_in__FGF__FGFR__FGFR_
IIrIr_int	cyt_cong_in__IGF__IGF1R__IGF1R_
INS_Isr_Isr_int	cyt_prot_in__INS_1__INSR_1__INSR_1_
IIrIrI_int	cyt_cong_in__IGF__IGF1R__IGF1R__IGF_
INS_Isr_Isr_INS_int	cyt_prot_in__INS_1__INSR_1__INSR_1__INS_1_
pEE1E2int	cyt_prot_in__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY1196_pY1222_pY1248_ERBB2_1_
pEE1E1int	cyt_prot_in__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1_
pEE1EE1int	cyt_prot_in__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1_
pEE1E3int	cyt_prot_in__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__ERBB3_1_
pEE1HE3int	cyt_prot_in__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__ERBB3_1_
pEE1E4int	cyt_prot_in__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY1056_pY1162_pY1284_ERBB4_1_
pEE1HE4int	cyt_prot_in__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_
pE2HE3int	cyt_prot_in_pY1196_pY1222_pY1248_ERBB2_1__NRG1_1_ERBB3_1_
pE1HE3int	cyt_prot_in_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1_ERBB3_1_
pHE3E4int	cyt_prot_in__NRG1_1__ERBB3_1__pY1056_pY1162_pY1284_ERBB4_1_
pHE3HE4int	cyt_prot_in__NRG1_1__ERBB3_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_
pE2HE4int	cyt_prot_in__pY1196_pY1222_pY1248_ERBB2_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_
